W22 G0 (d) — every GPU-tier row that moved when the resting sweep was gated

before = the canonical matrix at the 0.10.0 landing (the W21 bed); after = this gate's
scratch matrix, the same profile documents and the same bed, the sweep gone. Only the
cells the gate recaptured appear: the four standard profiles, GPU tier, calibration and
validation. The holdout is not read at this gate (X5).

profile                                scene                                        row                        before      after      delta
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           rimPeakLuminanceWeb      0.057212   0.044598  -0.012615
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           rimFwhmWeb               0.984318   0.977611  -0.006708
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           ssimMean                 0.991675   0.991715  +0.000040
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           oklabDeltaEMean          0.005034   0.005045  +0.000012
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest           interiorMeanWeb          0.070809   0.069963  -0.000846
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange rimPeakLuminanceWeb      0.021881   0.011587  -0.010294
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange rimFwhmWeb               0.818807   0.701124  -0.117683
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange ssimMean                 0.998743   0.998753  +0.000010
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange oklabDeltaEMean          0.001009   0.001017  +0.000008
apple-macos-26.5-1x-dark-standard      checkerboard__capsule-button__rest-tint-orange interiorMeanWeb          0.428270   0.427580  -0.000690
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 rimPeakLuminanceWeb      0.079585   0.048468  -0.031117
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 rimFwhmWeb               0.992031   0.982059  -0.009972
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 ssimMean                 0.986972   0.987931  +0.000960
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 oklabDeltaEMean          0.003945   0.003764  -0.000181
apple-macos-26.5-1x-dark-standard      checkerboard__rrect-md__rest                 interiorMeanWeb          0.050076   0.049016  -0.001061
apple-macos-26.5-1x-dark-standard      dark-solid__rrect-md__rest                   ssimMean                 0.987672   0.993408  +0.005736
apple-macos-26.5-1x-dark-standard      dark-solid__rrect-md__rest                   oklabDeltaEMean          0.004012   0.003690  -0.000322
apple-macos-26.5-1x-dark-standard      dark-solid__rrect-md__rest                   interiorMeanWeb          0.078836   0.048942  -0.029894
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest                  rimPeakLuminanceWeb      0.046282   0.037251  -0.009030
apple-macos-26.5-1x-dark-standard      photo__capsule-button__rest                  rimFwhmWeb               1.004884   1.004760  -0.000125
