== apple-macos-26.5-2x-dark-standard / css  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0204 +0.0204     -       -   | +0.0036 -0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1074  0.0738 | +0.0982 +0.1040     -       -   | +0.0427 -0.0028     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0033 | +0.0159 +0.0161     -       -   | +0.0023 -0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0966  0.0550 | +0.0758 +0.0754     -       -   | +0.0200 -0.0082     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0152 | +0.0255 +0.0255 +0.0256 +0.0256 | +0.0070 -0.0000 +0.0070 -0.0000 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0475  0.0510 | +0.0518 +0.0540 +0.0653 +0.0427 | +0.0256 -0.0006 +0.0267 -0.0003 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0470  0.0396 | +0.0492 +0.0557 +0.0466 +0.1074 | +0.0020 -0.0061 +0.0095 +0.0572 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1179 +0.1179     -       -   | +0.0331 +0.0001     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4345  0.4276 | +0.1270 +0.1278     -       -   | +0.0128 -0.0001     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4344  0.4275 | +0.1268 +0.1267     -       -   | +0.0097 +0.0001     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-sm__rest               unassigned   0.1014  0.0803 | +0.0974 +0.0974 +0.0980 +0.0980 | +0.0484 -0.0003 +0.0478 -0.0004 |  0.00  0.00  0.00  0.00
checkerboard-4__capsule-button__rest         unassigned   0.1015  0.0770 | +0.0986 +0.0986     -       -   | +0.0461 -0.0020     -       -   |  0.00  0.00   -     -  
checkerboard-4__rrect-md__rest               unassigned   0.0452  0.0533 | +0.0537 +0.0537 +0.0540 +0.0540 | +0.0282 -0.0010 +0.0282 -0.0010 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-ml__rest               unassigned   0.0457  0.0536 | +0.0536 +0.0536 +0.0537 +0.0538 | +0.0275 -0.0018 +0.0273 -0.0017 |  0.00  0.00  0.00  0.00
checkerboard-4__rrect-lg__rest               unassigned   0.0467  0.0524 | +0.0527 +0.0528 +0.0527 +0.0527 | +0.0245 -0.0034 +0.0253 -0.0034 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-sm__rest               unassigned   0.1015  0.0777 | +0.0987 +0.0987 +0.1487 +0.0477 | +0.0476 -0.0016 -0.0138 +0.0327 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-md__rest               unassigned   0.0448  0.0520 | +0.0541 +0.0541 +0.0552 +0.0537 | +0.0267 -0.0029 +0.0273 -0.0004 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-ml__rest               unassigned   0.0455  0.0520 | +0.0535 +0.0539 +0.0483 +0.0603 | +0.0254 -0.0039 +0.0195 +0.0009 |  0.00  0.00  0.00  0.00
checkerboard-8__rrect-lg__rest               unassigned   0.0467  0.0520 | +0.0520 +0.0531 +0.0369 +0.0698 | +0.0243 -0.0043 +0.0262 -0.0079 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-sm__rest              unassigned   0.1130  0.0764 | +0.1027 +0.0811 +0.2309 -0.0447 | +0.0452 -0.0002 +0.1312 -0.0404 |  0.00  0.00  0.00  0.00
checkerboard-32__capsule-button__rest        unassigned   0.1141  0.0735 | +0.0968 +0.0800     -       -   | +0.0417 -0.0028     -       -   |  0.00  0.00   -     -  
checkerboard-32__rrect-md__rest              unassigned   0.0508  0.0505 | +0.0568 +0.0511 +0.0369 +0.0663 | +0.0245 -0.0004 +0.0512 -0.0241 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-ml__rest              unassigned   0.0519  0.0491 | +0.0520 +0.0606 +0.0569 +0.0462 | +0.0236 -0.0023 +0.0004 +0.0160 |  0.00  0.00  0.00  0.00
checkerboard-32__rrect-lg__rest              unassigned   0.0520  0.0496 | +0.0543 +0.0506 +0.0376 +0.0715 | +0.0210 -0.0033 +0.0355 -0.0164 |  0.00  0.00  0.00  0.00
